dchisq_1,dchisq_2,dchisq_3,dchisq_4,dchisq_5,rchisq_g,rchisq_r,rchisq_z,fracflux_g,fracflux_r,fracflux_z,psfsize_g,psfsize_r,psfsize_z,fracdev,fracdev_ivar,shapeexp_r,shapeexp_r_ivar,shapeexp_e1,shapeexp_e1_ivar,shapeexp_e2,shapeexp_e2_ivar,shapedev_r,shapedev_r_ivar,shapedev_e1,shapedev_e1_ivar,shapedev_e2,shapedev_e2_ivar,galdepth_g,galdepth_r,galdepth_z,dered_flux_g,dered_flux_r,dered_flux_z,dered_flux_w1,dered_flux_w2,dered_flux_w3,dered_flux_w4,snr_g,snr_r,snr_z,snr_w1,snr_w2,snr_w3,snr_w4,g_r,r_z,z_w1,w1_w2,w2_w3,w3_w4,apflux_g_1,apflux_g_2,apflux_g_3,apflux_g_4,apflux_g_5,apflux_g_6,apflux_g_7,apflux_g_8,apflux_r_1,apflux_r_2,apflux_r_3,apflux_r_4,apflux_r_5,apflux_r_6,apflux_r_7,apflux_r_8,apflux_z_1,apflux_z_2,apflux_z_3,apflux_z_4,apflux_z_5,apflux_z_6,apflux_z_7,apflux_z_8,apflux_resid_g_1,apflux_resid_g_2,apflux_resid_g_3,apflux_resid_g_4,apflux_resid_g_5,apflux_resid_g_6,apflux_resid_g_7,apflux_resid_g_8,apflux_resid_r_1,apflux_resid_r_2,apflux_resid_r_3,apflux_resid_r_4,apflux_resid_r_5,apflux_resid_r_6,apflux_resid_r_7,apflux_resid_r_8,apflux_resid_z_1,apflux_resid_z_2,apflux_resid_z_3,apflux_resid_z_4,apflux_resid_z_5,apflux_resid_z_6,apflux_resid_z_7,apflux_resid_z_8,type_DEV ,type_EXP ,type_PSF ,type_REX ,Class
279.837,373.75199999999995,388.389,374.565,183.919,0.0,0.0,0.8645510000000001,0.0,0.0,7.10994e-10,0.0,0.0,1.29296,1,1,0.0,0.0,0.0,0.0,0.0,0.0,3.49948,19.2189,0.07054969999999999,281.182,-0.029414099999999995,98.2616,0.0,0.0,43.4393,0.0,0.0,9.99452,3.11728,3.82418,3.0023,186.593,0.0,0.0,19.6689,3.09654,1.7483400000000002,0.0793097,0.799531,-1.9443258812460378,5.034550631639938,-1.2485,0.223043,-0.261288,4.48385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6037939999999999,1.11132,1.70195,2.66609,3.3237400000000004,5.88165,9.00333,14.0144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032244,0.013586,0.05446,-0.022917,-0.257573,0.368096,2.27427,5.9664,1,0,0,0,1
252.78900000000002,976.955,746.3530000000001,982.712,18.0676,0.679725,0.699655,0.700658,0.137985,0.197677,0.191474,1.51788,1.7447400000000002,1.2420799999999999,0,0,11.5081,48.9914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.383,84.1979,30.6111,32.5297,52.1681,80.2506,13.6048,-18.7714,-69.3165,1065.93,39.0339,37.579,28.9636,5.78674,-3.87304,-0.893546,2.6635299999999997,0.5348430000000001,0.487642,-1.9053200000000001,-9.139947435626276,-7.043467660587767,-5.802470705370958,0.083763,0.193864,0.31464000000000003,0.675024,1.12027,3.3236199999999996,6.03669,9.433,0.101522,0.21360700000000002,0.418454,0.964274,1.80793,5.654,10.081,16.1572,0.08349,0.298145,0.466775,1.1421299999999999,2.13768,7.161289999999999,14.5113,22.6387,0.005496,0.019234,0.0074730000000000005,0.001607,-0.041467000000000004,0.135607,0.340673,0.173729,-0.030692,-0.081855,-0.102237,-0.18194100000000002,-0.17711300000000002,0.164776,0.254714,0.202738,-0.122456,-0.15667,-0.335476,-0.612347,-0.8711260000000001,-1.1002100000000001,-0.277606,-1.55903,0,0,0,1,1
154.475,626.726,690.2180000000001,701.467,362.20099999999996,0.9330700000000001,0.914976,0.784217,0.5707479999999999,0.6487109999999999,1.1250200000000001,1.5643200000000002,1.75863,1.13248,0,0,8.27224,12.915999999999999,-0.016719099999999997,631.22,0.567082,2164.65,0.0,0.0,0.0,0.0,0.0,0.0,316.34,87.9058,35.0364,7.299189999999999,6.06166,2.3671,24.9968,25.8777,-34.9733,-250.53099999999998,23.7085,11.9254,2.3969400000000003,19.9419,9.71222,-0.811771,-0.980632,-0.181753,-1.00279,2.5787,0.038953800000000004,-7.043467660587767,-5.802470705370958,0.08622300000000001,0.183635,0.31606599999999996,0.747173,1.2308700000000001,2.83829,4.5006900000000005,7.35608,0.139176,0.268967,0.407663,0.775133,1.14765,2.6030599999999997,4.4317,5.9989,0.042857,0.129332,0.18693800000000002,0.5409229999999999,1.10786,1.93862,2.4229700000000003,1.33004,-0.008296,-0.023575,-0.040125,0.009734,0.038581,0.124047,0.279097,0.8261040000000001,0.057572000000000005,0.089647,0.098485,0.13042,0.09728300000000001,0.161746,0.577191,0.094858,-0.010549,0.017119,0.0035659999999999997,0.153197,0.485411,0.5316069999999999,0.135846,-2.49038,0,1,0,0,0
74.2025,481.87699999999995,136.023,484.654,159.638,0.0,0.637088,0.5206270000000001,0.0,0.047842699999999995,0.0813989,0.0,1.73037,1.10572,0,0,10.2713,97.4873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.5589,11.5552,0.0,30.6171,46.3847,-10.5147,-23.7652,-131.283,-340.0,0.0,20.1655,9.11316,-4.67692,-5.18553,-2.0472900000000003,-1.01083,3.233149881246038,0.47135,-10.037009049988214,-9.139947435626276,-7.043467660587767,-5.802470705370958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088396,0.17069700000000002,0.379181,0.76017,1.12422,3.3757099999999998,6.253419999999999,9.95626,0.09021900000000001,0.270894,0.500233,0.838801,1.86313,5.37052,9.61484,14.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030559999999999997,-0.019383,0.045721,0.034638999999999996,-0.11551900000000001,0.057352999999999994,0.38010700000000003,0.437316,-0.047588,-0.034707999999999996,-0.033510000000000005,-0.313834,-0.095571,0.174818,0.456168,-0.072642,0,0,0,1,1
178.016,210.833,219.00400000000002,215.726,147.531,0.0,1.03077,0.8702139999999999,0.0,-1.26244e-10,5.11207e-09,0.0,1.53609,1.08402,0,0,0.9328219999999999,143.46200000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.622,29.1697,0.0,1.4445700000000001,2.00259,29.1396,21.8106,106.928,-489.75,0.0,12.7996,6.87237,39.5931,13.2041,3.5766400000000003,-2.43623,3.233149881246038,0.379343,2.93383,-0.3127,1.72836,-5.802470705370958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164376,0.335009,0.49305200000000005,0.7667729999999999,1.08169,1.61305,2.00763,2.98414,0.374923,0.5286810000000001,0.760656,1.20715,1.56497,2.32773,4.11306,7.07371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00817,0.018366,0.004391,-0.043858,0.042588,0.340886,0.704908,1.7356599999999998,0.09060499999999999,-0.022862999999999998,-0.067764,-0.099509,-0.061116,0.284206,1.94248,4.57674,0,0,0,1,0
81.8556,232.662,247.24200000000002,205.90400000000002,21.5917,0.716472,0.744399,0.47329099999999996,4.0047e-10,-7.479730000000001e-10,-1.30363e-10,1.51234,1.73605,1.16632,1,1,0.0,0.0,0.0,0.0,0.0,0.0,40.0006,67.4067,0.08412889999999999,80.3989,0.388086,229.891,305.814,81.4797,11.4108,15.8905,22.6896,30.2674,26.2956,31.8212,-257.91,-110.54,11.5687,9.91915,4.1628099999999995,6.67592,3.88774,-2.13267,-0.17538499999999999,0.410021,0.334057,-0.129923,0.208662,-7.043467660587767,-5.802470705370958,0.041413,0.107081,0.197722,0.438483,0.650792,1.28662,1.80227,2.0339,0.054782000000000004,0.152617,0.28468699999999997,0.614513,0.9876309999999999,2.11397,2.63082,2.73937,0.217426,0.386397,0.42193800000000004,0.703759,1.04564,2.48207,2.80139,1.65295,-0.016244,-0.017064,-0.010987,0.026892000000000003,0.014822,0.09853300000000001,0.178858,-0.074532,-0.024586,-0.019172,-0.005934,0.033995,0.080985,0.19297899999999998,-0.254525,-1.3158299999999998,0.09094400000000001,0.11892799999999999,-0.019868,-0.145001,-0.24722399999999997,-0.177451,-1.18251,-3.9840400000000002,1,0,0,0,1
364.594,1025.38,1057.1,1063.65,179.793,0.8685290000000001,0.984923,0.9178639999999999,0.0513744,0.0755812,0.104501,1.50824,1.7324,1.13816,0,0,4.23181,70.1181,-0.0648745,648.293,0.252963,1840.62,0.0,0.0,0.0,0.0,0.0,0.0,309.37,83.3468,35.5241,5.01929,8.12448,9.56852,1.47876,-11.8023,5.80695,1166.6,21.5638,20.6205,13.163,1.47945,-5.460430000000001,0.169015,5.51687,0.548489,0.20091199999999998,-2.0023,-9.139947435626276,-7.043467660587767,5.75781,0.101658,0.22518400000000002,0.387946,0.796128,1.2142700000000002,2.7940099999999997,3.9443300000000003,5.06086,0.20301,0.419878,0.67002,1.27331,1.9364299999999999,4.38007,6.81955,8.55562,0.291919,0.462182,0.7216859999999999,1.56349,2.57112,5.65717,8.00337,10.9777,0.0020440000000000002,0.008541,0.019378,0.051855,0.041941,0.23516399999999998,0.317889,0.6268819999999999,0.04338,0.07166,0.075253,0.061227,0.009622,0.096511,0.67295,0.775492,0.069883,-0.012915000000000001,-0.075169,-0.019203,0.10744100000000001,0.018663,-0.07710800000000001,0.616434,0,1,0,0,1
1862.44,3948.54,4127.83,3983.55,691.41,1.0315,1.08558,0.869424,0.14213599999999998,0.148514,0.152921,1.52386,1.75095,1.1995799999999999,1,1,0.0,0.0,0.0,0.0,0.0,0.0,15.7102,56.6774,0.010760500000000001,1710.54,0.127078,5252.41,335.385,88.3056,42.4405,23.0316,38.561,54.2185,8.44046,-10.1891,-139.863,527.686,39.4833,38.3706,32.1099,3.46175,-2.0223400000000002,-1.90602,1.32015,0.5846600000000001,0.39282399999999995,-1.99488,-9.139947435626276,-7.043467660587767,-5.802470705370958,0.26397600000000004,0.5263399999999999,0.809198,1.3437299999999999,1.8947900000000002,3.8520800000000004,6.36621,9.84365,0.452244,0.849143,1.30113,2.24567,3.2555099999999997,6.694260000000001,11.1225,17.1368,0.9572309999999999,1.6820400000000002,2.28056,3.2255,4.71609,9.561539999999999,16.0168,23.543000000000003,0.050934,0.075652,0.06774,-0.051744000000000005,-0.171125,-0.10130700000000001,0.5376920000000001,1.44134,0.112603,0.125222,0.09957300000000001,-0.056109000000000006,-0.201378,-0.071917,1.11519,2.59413,0.373127,0.474904,0.33166799999999996,-0.34176599999999996,-0.512969,-0.406827,1.2257,1.97707,1,0,0,0,1
1256.73,1306.76,1349.86,1308.96,1306.57,0.0,0.0,1.29655,0.0,0.0,0.00685838,0.0,0.0,1.16571,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.996859,400.019,0.06628150000000001,393.583,-0.0742875,382.717,0.0,0.0,23.3433,0.0,0.0,11.5338,27.871,13.1287,-53.278,-241.24599999999998,0.0,0.0,36.6617,35.9985,7.68372,-1.7064400000000002,-1.1543299999999999,-1.9443258812460378,5.034550631639938,0.982296,-0.815647,-7.043467660587767,-5.802470705370958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2035400000000003,3.67314,4.6109599999999995,6.07394,7.21564,10.7518,13.8624,20.7009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224252,0.164469,-0.222938,-0.679034,-0.810732,0.6407010000000001,1.99679,3.2794300000000005,1,0,0,0,0
334.537,335.29,336.963,336.545,0.0,0.856028,1.34402,1.1036,0.035263300000000004,0.042877099999999994,0.0139827,1.96102,1.55974,1.26041,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.021,159.487,25.508000000000003,0.166574,0.56166,2.36028,12.3762,7.265960000000001,-134.555,1823.03,2.83962,8.48869,16.1233,17.7403,4.603680000000001,-4.58018,8.67119,1.34614,1.5828,1.82497,-0.576443,-7.043467660587767,-5.802470705370958,0.026558999999999996,0.046554000000000005,0.073473,0.15896300000000002,0.208519,0.477321,0.812002,1.16867,0.149293,0.27123200000000003,0.40965,0.517314,0.5224,0.8985559999999999,3.13406,6.31271,0.9229200000000001,1.50073,1.8803900000000002,2.2176299999999998,2.1695900000000004,4.25097,5.31572,5.49247,-0.00367,-0.011518,-0.011405,0.035386,0.06325599999999999,0.296433,0.581627,0.686232,-0.001247,-0.000256,0.021925,0.021259,-0.025294,0.085874,-0.269905,0.003788,-0.02246,-0.006319,0.027274,0.030287,-0.185222,1.09495,0.580571,-1.20191,0,0,1,0,0
